Wavelength(nm),4.07(Abs),20.3(Abs),40.7(Abs),60(Abs),90(Abs),122(Abs)
327,-0.00051,-0.00118,0.00077,0.00124,0.00129,0.00069
326,-0.00032,-0.00112,0.00075,0.00135,0.00146,0.00067
325,-0.00058,-0.00127,0.00055,0.00116,0.00122,0.00046
324,-0.00057,-0.00125,0.00059,0.00122,0.00125,0.00057
323,-0.00057,-0.00137,0.00052,0.00121,0.00132,0.00059
322,-0.00042,-0.00121,0.00053,0.00136,0.00144,0.0007
321,-0.00046,-0.00128,0.00056,0.00119,0.00123,0.00058
320,-0.00064,-0.00141,0.00043,0.00119,0.0012,0.00047
319,-0.00046,-0.00132,0.0006,0.00128,0.0014,0.00055
318,-0.0006,-0.00141,0.00053,0.00123,0.00132,0.00053
317,-0.00059,-0.00143,0.00047,0.00128,0.00123,0.00056
316,-0.00052,-0.00124,0.0005,0.00132,0.00132,0.0007
315,-0.00056,-0.00132,0.00042,0.00128,0.00134,0.00039
314,-0.00061,-0.00149,0.00033,0.00127,0.00126,0.00053
313,-0.00052,-0.00124,0.00058,0.0015,0.0015,0.00073
312,-0.00069,-0.00136,0.00046,0.0014,0.00133,0.00068
311,-0.00062,-0.00132,0.00046,0.00146,0.00144,0.00081
310,-0.00069,-0.00123,0.00051,0.00156,0.00151,0.00095
309,-0.00068,-0.00117,0.00065,0.0017,0.00175,0.00118
308,-0.00068,-0.00117,0.00065,0.00182,0.00196,0.00144
307,-0.00068,-0.00098,0.00085,0.00217,0.0023,0.002
306,-0.0006,-0.00096,0.00115,0.0025,0.00283,0.00272
305,-0.00055,-0.0007,0.00148,0.0031,0.00358,0.0039
304,-0.00051,-0.00054,0.00192,0.00396,0.00469,0.00552
303,-0.00052,-0.00015,0.00252,0.00515,0.00615,0.00783
302,-0.00019,0.00043,0.00345,0.00682,0.00831,0.0109
301,-0.0002,0.0011,0.00461,0.00888,0.01112,0.01525
300,-0.00001,0.00208,0.00652,0.01231,0.01577,0.02225
299,0.0003,0.00353,0.00903,0.01695,0.02187,0.03142
298,0.00051,0.00515,0.01229,0.02289,0.0298,0.04364
297,0.00083,0.00734,0.0166,0.03075,0.04027,0.05977
296,0.00136,0.01052,0.02225,0.04098,0.05403,0.08056
295,0.00181,0.0141,0.02941,0.05394,0.07131,0.10695
294,0.0025,0.01847,0.03785,0.06924,0.09183,0.1379
293,0.00341,0.02446,0.04903,0.08947,0.11897,0.17962
292,0.00439,0.03133,0.06218,0.11356,0.15106,0.22838
291,0.00529,0.03836,0.0756,0.13816,0.18415,0.27899
290,0.00646,0.04612,0.09017,0.16427,0.21926,0.33238
289,0.00779,0.05558,0.10849,0.19748,0.26396,0.4
288,0.00906,0.06501,0.12631,0.23049,0.30779,0.4672
287,0.01026,0.07414,0.14388,0.26253,0.35065,0.53336
286,0.01151,0.08371,0.16216,0.2957,0.39524,0.60126
285,0.01276,0.09324,0.18027,0.32874,0.43967,0.66928
284,0.01407,0.10248,0.19799,0.36115,0.48329,0.73586
283,0.01534,0.11129,0.21477,0.39199,0.52473,0.79903
282,0.01646,0.11815,0.22791,0.41583,0.55666,0.84843
281,0.01737,0.12566,0.24236,0.44196,0.59182,0.90194
280,0.01843,0.13264,0.2558,0.4668,0.62517,0.95225
279,0.0193,0.13869,0.26705,0.48736,0.65298,0.99491
278,0.01986,0.14379,0.27669,0.50504,0.67651,1.03099
277,0.02051,0.1479,0.28464,0.51968,0.69584,1.06096
276,0.02098,0.15096,0.29032,0.53023,0.7103,1.08267
275,0.02152,0.15387,0.29571,0.53992,0.72335,1.10253
274,0.02166,0.15547,0.29867,0.54547,0.73076,1.11401
273,0.02188,0.15606,0.29965,0.54723,0.73321,1.11798
272,0.0219,0.15578,0.29897,0.54615,0.73178,1.11581
271,0.0218,0.15469,0.29684,0.54226,0.72656,1.10759
270,0.02156,0.1528,0.2926,0.53475,0.71627,1.09166
269,0.02136,0.14979,0.28672,0.52398,0.70154,1.06908
268,0.02098,0.14619,0.27971,0.51113,0.68469,1.04316
267,0.02051,0.14275,0.27265,0.49844,0.66761,1.01715
266,0.02006,0.13881,0.26473,0.48418,0.64818,0.98725
265,0.01945,0.13351,0.25425,0.46498,0.62265,0.94783
264,0.01886,0.12827,0.24365,0.44566,0.5968,0.90848
263,0.01829,0.12222,0.23181,0.42415,0.56792,0.86424
262,0.01752,0.11613,0.21997,0.40258,0.53915,0.82009
261,0.01701,0.11091,0.20901,0.38278,0.51272,0.7798
260,0.01617,0.10583,0.19918,0.36521,0.48923,0.744
259,0.01557,0.10004,0.1879,0.34485,0.46186,0.70175
258,0.01499,0.09432,0.17595,0.32286,0.43239,0.65623
257,0.01421,0.08899,0.16504,0.30275,0.40538,0.61411
256,0.01353,0.08305,0.15308,0.2807,0.37605,0.56916
255,0.01419,0.07913,0.14383,0.26351,0.35201,0.53198
254,0.01298,0.07234,0.13299,0.2442,0.32669,0.49183
253,0.01502,0.06927,0.12611,0.23017,0.30658,0.4603
252,0.01481,0.06699,0.11921,0.21845,0.28785,0.43156
251,0.01638,0.06744,0.11605,0.20663,0.26922,0.39504
250,0.01523,0.06362,0.10901,0.1912,0.25052,0.34298
249,0.00154,0.04998,0.10204,0.18419,0.2004,0.28115
248,0.01477,0.05318,0.10359,0.18478,0.23502,0.26538
247,0.01267,0.05489,0.10876,0.1597,0.19572,0.27848
246,0.01731,0.04245,0.0976,0.16316,0.18034,0.24184
245,0.00003,0.06857,0.09955,0.14903,0.19949,0.22786
244,0.02934,0.06523,0.11734,0.15269,0.18658,0.24484
243,0.00248,0.05333,0.10146,0.16507,0.17761,0.24221
242,0.01384,0.04868,0.08621,0.14987,0.19097,0.22486
241,-0.00021,0.0428,0.09284,0.12873,0.16288,0.20949
240,0.03247,0.05805,0.06666,0.13696,0.20094,0.21132
239,-0.00022,0.0281,0.0944,0.14391,0.16356,0.19858
238,-0.0253,0.0535,0.04283,0.14043,0.15496,0.22159
237,0.01457,0.04156,0.09463,0.1127,0.18001,0.2031
236,-0.01626,0.02726,0.05872,0.08941,0.14661,0.14493
235,-0.00881,0.02354,0.1028,0.11881,0.12876,0.17498
234,-0.00109,0.05473,0.09534,0.13475,0.14797,0.20412
233,0.02532,0.06319,0.10545,0.11611,0.16791,0.20708
232,-0.00596,0.05235,0.06401,0.11391,0.14774,0.15168
231,0.0179,0.02485,0.06457,0.10367,0.12638,0.18474
230,-0.00773,0.00584,0.04866,0.08775,0.12226,0.18914
229,-0.02005,0.04162,0.06607,0.12114,0.1255,0.14719
228,-0.00417,0.04062,0.05439,0.11965,0.1456,0.16663
227,0.02398,0.04473,0.07345,0.13781,0.15691,0.16179
226,0.01855,-0.00054,0.04924,0.07781,0.12857,0.14761
225,-0.0036,0.01688,0.03824,0.11809,0.12178,0.13065
224,0.00525,0.02621,0.05591,0.14984,0.12802,0.15454
223,0.01482,0.04455,0.04815,0.08356,0.11368,0.13035
222,0.00725,0.05445,0.07939,0.11869,0.09225,0.14411
221,0.01426,0.05051,0.06147,0.09312,0.12551,0.1638
220,0.0314,0.04938,0.08436,0.07728,0.15322,0.11175
